Date,Open,High,Low,Close,Adj Close,Volume
1996-11-04,10.000000,10.000000,10.000000,10.000000,6.680636,0
1996-11-05,10.000000,10.000000,10.000000,10.000000,6.680636,0
1996-11-06,10.000000,10.000000,10.000000,10.000000,6.680636,0
1996-11-07,9.970000,9.970000,9.970000,9.970000,6.660596,0
1996-11-08,9.980000,9.980000,9.980000,9.980000,6.667274,0
1996-11-11,9.980000,9.980000,9.980000,9.980000,6.667274,0
1996-11-12,10.010000,10.010000,10.010000,10.010000,6.687318,0
1996-11-13,10.050000,10.050000,10.050000,10.050000,6.714040,0
1996-11-14,10.070000,10.070000,10.070000,10.070000,6.727400,0
1996-11-15,10.060000,10.060000,10.060000,10.060000,6.720718,0
1996-11-18,10.040000,10.040000,10.040000,10.040000,6.707359,0
1996-11-19,10.050000,10.050000,10.050000,10.050000,6.714040,0
1996-11-20,10.100000,10.100000,10.100000,10.100000,6.747442,0
1996-11-21,10.120000,10.120000,10.120000,10.120000,6.760804,0
1996-11-22,10.120000,10.120000,10.120000,10.120000,6.760804,0
1996-11-25,10.080000,10.080000,10.080000,10.080000,6.734082,0
1996-11-26,10.050000,10.050000,10.050000,10.050000,6.714040,0
1996-11-27,10.030000,10.030000,10.030000,10.030000,6.700677,0
1996-11-29,9.970000,9.970000,9.970000,9.970000,6.660596,0
1996-12-02,9.990000,9.990000,9.990000,9.990000,6.673956,0
1996-12-03,9.950000,9.950000,9.950000,9.950000,6.647233,0
1996-12-04,9.930000,9.930000,9.930000,9.930000,6.633871,0
1996-12-05,9.960000,9.960000,9.960000,9.960000,6.653913,0
1996-12-06,9.880000,9.880000,9.880000,9.880000,6.600469,0
1996-12-09,9.860000,9.860000,9.860000,9.860000,6.587108,0
1996-12-10,9.960000,9.960000,9.960000,9.960000,6.653913,0
1996-12-11,9.960000,9.960000,9.960000,9.960000,6.653913,0
1996-12-12,9.960000,9.960000,9.960000,9.960000,6.653913,0
1996-12-13,9.880000,9.880000,9.880000,9.880000,6.605775,0
1996-12-16,9.880000,9.880000,9.880000,9.880000,6.605775,0
1996-12-17,9.920000,9.920000,9.920000,9.920000,6.632519,0
1996-12-18,9.870000,9.870000,9.870000,9.870000,6.599089,0
1996-12-19,9.800000,9.800000,9.800000,9.800000,6.552287,0
1996-12-20,9.820000,9.820000,9.820000,9.820000,6.565658,0
1996-12-23,9.860000,9.860000,9.860000,9.860000,6.592402,0
1996-12-24,9.830000,9.830000,9.830000,9.830000,6.572344,0
1996-12-26,9.800000,9.800000,9.800000,9.800000,6.552287,0
1996-12-27,9.850000,9.850000,9.850000,9.850000,6.585717,0
1996-12-30,9.860000,9.860000,9.860000,9.860000,6.592402,0
1996-12-31,9.910000,9.910000,9.910000,9.910000,6.625833,0
1997-01-02,9.880000,9.880000,9.880000,9.880000,6.605775,0
1997-01-03,9.870000,9.870000,9.870000,9.870000,6.599089,0
1997-01-06,9.910000,9.910000,9.910000,9.910000,6.625833,0
1997-01-07,9.950000,9.950000,9.950000,9.950000,6.652577,0
1997-01-08,9.940000,9.940000,9.940000,9.940000,6.645890,0
1997-01-09,9.930000,9.930000,9.930000,9.930000,6.639205,0
1997-01-10,9.870000,9.870000,9.870000,9.870000,6.599089,0
1997-01-13,9.870000,9.870000,9.870000,9.870000,6.599089,0
1997-01-14,9.820000,9.820000,9.820000,9.820000,6.565658,0
1997-01-15,9.840000,9.840000,9.840000,9.840000,6.579031,0
1997-01-16,9.860000,9.860000,9.860000,9.860000,6.592402,0
1997-01-17,9.800000,9.800000,9.800000,9.800000,6.552287,0
1997-01-20,9.740000,9.740000,9.740000,9.740000,6.512171,0
1997-01-21,9.700000,9.700000,9.700000,9.700000,6.485425,0
1997-01-22,9.670000,9.670000,9.670000,9.670000,6.465368,0
1997-01-23,9.640000,9.640000,9.640000,9.640000,6.445312,0
1997-01-24,9.670000,9.670000,9.670000,9.670000,6.465368,0
1997-01-27,9.600000,9.600000,9.600000,9.600000,6.418567,0
1997-01-28,9.490000,9.490000,9.490000,9.490000,6.345020,0
1997-01-29,9.490000,9.490000,9.490000,9.490000,6.345020,0
1997-01-30,9.490000,9.490000,9.490000,9.490000,6.345020,0
1997-01-31,9.520000,9.520000,9.520000,9.520000,6.365078,0
1997-02-03,9.510000,9.510000,9.510000,9.510000,6.358393,0
1997-02-04,9.570000,9.570000,9.570000,9.570000,6.398509,0
1997-02-05,9.600000,9.600000,9.600000,9.600000,6.418567,0
1997-02-06,9.570000,9.570000,9.570000,9.570000,6.398509,0
1997-02-07,9.540000,9.540000,9.540000,9.540000,6.378450,0
1997-02-10,9.660000,9.660000,9.660000,9.660000,6.458682,0
1997-02-11,9.640000,9.640000,9.640000,9.640000,6.445312,0
1997-02-12,9.620000,9.620000,9.620000,9.620000,6.431940,0
1997-02-13,9.580000,9.580000,9.580000,9.580000,6.405193,0
1997-02-14,9.570000,9.570000,9.570000,9.570000,6.398509,0
1997-02-18,9.560000,9.560000,9.560000,9.560000,6.391823,0
1997-02-19,9.510000,9.510000,9.510000,9.510000,6.358393,0
1997-02-20,9.580000,9.580000,9.580000,9.580000,6.405193,0
1997-02-21,9.620000,9.620000,9.620000,9.620000,6.431940,0
1997-02-24,9.710000,9.710000,9.710000,9.710000,6.492112,0
1997-02-25,9.720000,9.720000,9.720000,9.720000,6.498800,0
1997-02-26,9.720000,9.720000,9.720000,9.720000,6.498800,0
1997-02-27,9.690000,9.690000,9.690000,9.690000,6.478740,0
1997-02-28,9.670000,9.670000,9.670000,9.670000,6.465368,0
1997-03-03,9.620000,9.620000,9.620000,9.620000,6.431940,0
1997-03-04,9.610000,9.610000,9.610000,9.610000,6.425252,0
1997-03-05,9.620000,9.620000,9.620000,9.620000,6.431940,0
1997-03-06,9.620000,9.620000,9.620000,9.620000,6.431940,0
1997-03-07,9.600000,9.600000,9.600000,9.600000,6.418567,0
1997-03-10,9.660000,9.660000,9.660000,9.660000,6.458682,0
1997-03-11,9.650000,9.650000,9.650000,9.650000,6.451997,0
1997-03-12,9.630000,9.630000,9.630000,9.630000,6.438623,0
1997-03-13,9.590000,9.590000,9.590000,9.590000,6.411880,0
1997-03-14,9.540000,9.540000,9.540000,9.540000,6.378450,0
1997-03-17,9.500000,9.500000,9.500000,9.500000,6.351706,0
1997-03-18,9.530000,9.530000,9.530000,9.530000,6.371765,0
1997-03-19,9.530000,9.530000,9.530000,9.530000,6.371765,0
1997-03-20,9.430000,9.430000,9.430000,9.430000,6.304904,0
1997-03-21,9.520000,9.520000,9.520000,9.520000,6.365078,0
1997-03-24,9.530000,9.530000,9.530000,9.530000,6.371765,0
1997-03-25,9.500000,9.500000,9.500000,9.500000,6.351706,0
1997-03-26,9.540000,9.540000,9.540000,9.540000,6.378450,0
1997-03-27,9.590000,9.590000,9.590000,9.590000,6.411880,0
1997-03-31,9.630000,9.630000,9.630000,9.630000,6.438623,0
1997-04-01,9.500000,9.500000,9.500000,9.500000,6.351706,0
1997-04-02,9.510000,9.510000,9.510000,9.510000,6.358393,0
1997-04-03,9.420000,9.420000,9.420000,9.420000,6.298218,0
1997-04-04,9.380000,9.380000,9.380000,9.380000,6.271475,0
1997-04-07,9.300000,9.300000,9.300000,9.300000,6.217987,0
1997-04-08,9.280000,9.280000,9.280000,9.280000,6.204614,0
1997-04-09,9.280000,9.280000,9.280000,9.280000,6.204614,0
1997-04-10,9.250000,9.250000,9.250000,9.250000,6.184555,0
1997-04-11,9.220000,9.220000,9.220000,9.220000,6.164498,0
1997-04-14,9.150000,9.150000,9.150000,9.150000,6.117695,0
1997-04-15,9.190000,9.190000,9.190000,9.190000,6.144440,0
1997-04-16,9.210000,9.210000,9.210000,9.210000,6.157813,0
1997-04-17,9.280000,9.280000,9.280000,9.280000,6.204614,0
1997-04-18,9.340000,9.340000,9.340000,9.340000,6.244730,0
1997-04-21,9.390000,9.390000,9.390000,9.390000,6.278160,0
1997-04-22,9.410000,9.410000,9.410000,9.410000,6.291531,0
1997-04-23,9.470000,9.470000,9.470000,9.470000,6.331649,0
1997-04-24,9.460000,9.460000,9.460000,9.460000,6.324964,0
1997-04-25,9.350000,9.350000,9.350000,9.350000,6.251417,0
1997-04-28,9.310000,9.310000,9.310000,9.310000,6.224673,0
1997-04-29,9.310000,9.310000,9.310000,9.310000,6.224673,0
1997-04-30,9.350000,9.350000,9.350000,9.350000,6.251417,0
1997-05-01,9.420000,9.420000,9.420000,9.420000,6.298218,0
1997-05-02,9.440000,9.440000,9.440000,9.440000,6.311589,0
1997-05-05,9.470000,9.470000,9.470000,9.470000,6.331649,0
1997-05-06,9.590000,9.590000,9.590000,9.590000,6.411880,0
1997-05-07,9.670000,9.670000,9.670000,9.670000,6.465368,0
1997-05-08,9.690000,9.690000,9.690000,9.690000,6.478740,0
1997-05-09,9.770000,9.770000,9.770000,9.770000,6.532229,0
1997-05-12,9.860000,9.860000,9.860000,9.860000,6.592402,0
1997-05-13,9.890000,9.890000,9.890000,9.890000,6.612461,0
1997-05-14,9.930000,9.930000,9.930000,9.930000,6.639205,0
1997-05-15,10.010000,10.010000,10.010000,10.010000,6.692693,0
1997-05-16,10.070000,10.070000,10.070000,10.070000,6.732808,0
1997-05-19,10.020000,10.020000,10.020000,10.020000,6.699378,0
1997-05-20,10.110000,10.110000,10.110000,10.110000,6.759552,0
1997-05-21,10.080000,10.080000,10.080000,10.080000,6.739495,0
1997-05-22,10.000000,10.000000,10.000000,10.000000,6.686007,0
1997-05-23,10.030000,10.030000,10.030000,10.030000,6.706064,0
1997-05-27,10.030000,10.030000,10.030000,10.030000,6.706064,0
1997-05-28,10.040000,10.040000,10.040000,10.040000,6.712752,0
1997-05-29,10.020000,10.020000,10.020000,10.020000,6.699378,0
1997-05-30,9.990000,9.990000,9.990000,9.990000,6.679320,0
1997-06-02,9.990000,9.990000,9.990000,9.990000,6.679320,0
1997-06-03,10.030000,10.030000,10.030000,10.030000,6.706064,0
1997-06-04,10.050000,10.050000,10.050000,10.050000,6.719438,0
1997-06-05,10.100000,10.100000,10.100000,10.100000,6.752868,0
1997-06-06,10.120000,10.120000,10.120000,10.120000,6.766238,0
1997-06-09,10.270000,10.270000,10.270000,10.270000,6.866530,0
1997-06-10,10.210000,10.210000,10.210000,10.210000,6.826412,0
1997-06-11,10.250000,10.250000,10.250000,10.250000,6.853155,0
1997-06-12,10.230000,10.230000,10.230000,10.230000,6.839784,0
1997-06-13,10.180000,10.180000,10.180000,10.180000,6.806355,0
1997-06-16,10.260000,10.260000,10.260000,10.260000,6.859842,0
1997-06-17,10.260000,10.260000,10.260000,10.260000,6.859842,0
1997-06-18,10.230000,10.230000,10.230000,10.230000,6.839784,0
1997-06-19,10.220000,10.220000,10.220000,10.220000,6.833099,0
1997-06-20,10.230000,10.230000,10.230000,10.230000,6.839784,0
1997-06-23,10.230000,10.230000,10.230000,10.230000,6.839784,0
1997-06-24,10.240000,10.240000,10.240000,10.240000,6.846470,0
1997-06-25,10.340000,10.340000,10.340000,10.340000,6.913331,0
1997-06-26,10.350000,10.350000,10.350000,10.350000,6.920017,0
1997-06-27,10.320000,10.320000,10.320000,10.320000,6.899956,0
1997-06-30,10.280000,10.280000,10.280000,10.280000,6.873215,0
1997-07-01,10.250000,10.250000,10.250000,10.250000,6.853155,0
1997-07-02,10.250000,10.250000,10.250000,10.250000,6.853155,0
1997-07-03,10.330000,10.330000,10.330000,10.330000,6.906644,0
1997-07-07,10.330000,10.330000,10.330000,10.330000,6.906644,0
1997-07-08,10.290000,10.290000,10.290000,10.290000,6.879900,0
1997-07-09,10.310000,10.310000,10.310000,10.310000,6.893272,0
1997-07-10,10.300000,10.300000,10.300000,10.300000,6.886586,0
1997-07-11,10.260000,10.260000,10.260000,10.260000,6.859842,0
1997-07-14,10.230000,10.230000,10.230000,10.230000,6.839784,0
1997-07-15,10.160000,10.160000,10.160000,10.160000,6.792983,0
1997-07-16,10.180000,10.180000,10.180000,10.180000,6.806355,0
1997-07-17,10.130000,10.130000,10.130000,10.130000,6.772924,0
1997-07-18,10.170000,10.170000,10.170000,10.170000,6.799667,0
1997-07-21,10.140000,10.140000,10.140000,10.140000,6.779612,0
1997-07-22,10.110000,10.110000,10.110000,10.110000,6.759552,0
1997-07-23,10.050000,10.050000,10.050000,10.050000,6.719438,0
1997-07-24,10.000000,10.000000,10.000000,10.000000,6.686007,0
1997-07-25,9.930000,9.930000,9.930000,9.930000,6.639205,0
1997-07-28,9.880000,9.880000,9.880000,9.880000,6.605775,0
1997-07-29,9.870000,9.870000,9.870000,9.870000,6.599089,0
1997-07-30,9.870000,9.870000,9.870000,9.870000,6.599089,0
1997-07-31,9.940000,9.940000,9.940000,9.940000,6.645890,0
1997-08-01,9.880000,9.880000,9.880000,9.880000,6.605775,0
1997-08-04,9.790000,9.790000,9.790000,9.790000,6.545600,0
1997-08-05,9.690000,9.690000,9.690000,9.690000,6.478740,0
1997-08-06,9.710000,9.710000,9.710000,9.710000,6.492112,0
1997-08-07,9.740000,9.740000,9.740000,9.740000,6.512171,0
1997-08-08,9.800000,9.800000,9.800000,9.800000,6.552287,0
1997-08-11,9.750000,9.750000,9.750000,9.750000,6.518857,0
1997-08-12,9.730000,9.730000,9.730000,9.730000,6.505484,0
1997-08-13,9.760000,9.760000,9.760000,9.760000,6.525544,0
1997-08-14,9.680000,9.680000,9.680000,9.680000,6.472054,0
1997-08-15,9.770000,9.770000,9.770000,9.770000,6.532229,0
1997-08-18,9.650000,9.650000,9.650000,9.650000,6.451997,0
1997-08-19,9.670000,9.670000,9.670000,9.670000,6.465368,0
1997-08-20,9.660000,9.660000,9.660000,9.660000,6.458682,0
1997-08-21,9.700000,9.700000,9.700000,9.700000,6.485425,0
1997-08-22,9.720000,9.720000,9.720000,9.720000,6.498800,0
1997-08-25,9.710000,9.710000,9.710000,9.710000,6.492112,0
1997-08-26,9.700000,9.700000,9.700000,9.700000,6.485425,0
1997-08-27,9.640000,9.640000,9.640000,9.640000,6.445312,0
1997-08-28,9.600000,9.600000,9.600000,9.600000,6.418567,0
1997-08-29,9.470000,9.470000,9.470000,9.470000,6.331649,0
1997-09-02,9.360000,9.360000,9.360000,9.360000,6.258102,0
1997-09-03,9.460000,9.460000,9.460000,9.460000,6.324964,0
1997-09-04,9.470000,9.470000,9.470000,9.470000,6.331649,0
1997-09-05,9.550000,9.550000,9.550000,9.550000,6.385136,0
1997-09-08,9.530000,9.530000,9.530000,9.530000,6.371765,0
1997-09-09,9.600000,9.600000,9.600000,9.600000,6.418567,0
1997-09-10,9.600000,9.600000,9.600000,9.600000,6.418567,0
1997-09-11,9.540000,9.540000,9.540000,9.540000,6.378450,0
1997-09-12,9.550000,9.550000,9.550000,9.550000,6.385136,0
1997-09-15,9.570000,9.570000,9.570000,9.570000,6.398509,0
1997-09-16,9.480000,9.480000,9.480000,9.480000,6.338334,0
1997-09-17,9.490000,9.490000,9.490000,9.490000,6.345020,0
1997-09-18,9.480000,9.480000,9.480000,9.480000,6.338334,0
1997-09-19,9.490000,9.490000,9.490000,9.490000,6.345020,0
1997-09-22,9.450000,9.450000,9.450000,9.450000,6.318276,0
1997-09-23,9.470000,9.470000,9.470000,9.470000,6.331649,0
1997-09-24,9.580000,9.580000,9.580000,9.580000,6.405193,0
1997-09-25,9.600000,9.600000,9.600000,9.600000,6.418567,0
1997-09-26,9.550000,9.550000,9.550000,9.550000,6.385136,0
1997-09-29,9.570000,9.570000,9.570000,9.570000,6.398509,0
1997-09-30,9.560000,9.560000,9.560000,9.560000,6.391823,0
1997-10-01,9.520000,9.520000,9.520000,9.520000,6.365078,0
1997-10-02,9.570000,9.570000,9.570000,9.570000,6.398509,0
1997-10-03,9.530000,9.530000,9.530000,9.530000,6.371765,0
1997-10-06,9.560000,9.560000,9.560000,9.560000,6.391823,0
1997-10-07,9.570000,9.570000,9.570000,9.570000,6.398509,0
1997-10-08,9.580000,9.580000,9.580000,9.580000,6.405193,0
1997-10-09,9.550000,9.550000,9.550000,9.550000,6.385136,0
1997-10-10,9.540000,9.540000,9.540000,9.540000,6.378450,0
1997-10-13,9.510000,9.510000,9.510000,9.510000,6.358393,0
1997-10-14,9.490000,9.490000,9.490000,9.490000,6.345020,0
1997-10-15,9.500000,9.500000,9.500000,9.500000,6.351706,0
1997-10-16,9.590000,9.590000,9.590000,9.590000,6.411880,0
1997-10-17,9.520000,9.520000,9.520000,9.520000,6.365078,0
1997-10-20,9.510000,9.510000,9.510000,9.510000,6.358393,0
1997-10-21,9.500000,9.500000,9.500000,9.500000,6.351706,0
1997-10-22,9.520000,9.520000,9.520000,9.520000,6.365078,0
1997-10-23,9.430000,9.430000,9.430000,9.430000,6.304904,0
1997-10-24,9.410000,9.410000,9.410000,9.410000,6.291531,0
1997-10-27,9.370000,9.370000,9.370000,9.370000,6.264787,0
1997-10-28,9.060000,9.060000,9.060000,9.060000,6.057523,0
1997-10-29,9.230000,9.230000,9.230000,9.230000,6.171184,0
1997-10-30,9.180000,9.180000,9.180000,9.180000,6.137755,0
1997-10-31,9.220000,9.220000,9.220000,9.220000,6.164498,0
1997-11-03,9.240000,9.240000,9.240000,9.240000,6.177870,0
1997-11-04,9.250000,9.250000,9.250000,9.250000,6.184555,0
1997-11-05,9.240000,9.240000,9.240000,9.240000,6.177870,0
1997-11-06,9.230000,9.230000,9.230000,9.230000,6.171184,0
1997-11-07,9.140000,9.140000,9.140000,9.140000,6.111011,0
1997-11-10,9.080000,9.080000,9.080000,9.080000,6.070892,0
1997-11-11,9.080000,9.080000,9.080000,9.080000,6.070892,0
1997-11-12,8.940000,8.940000,8.940000,8.940000,5.977291,0
1997-11-13,8.910000,8.910000,8.910000,8.910000,5.957232,0
1997-11-14,8.860000,8.860000,8.860000,8.860000,5.923801,0
1997-11-17,8.950000,8.950000,8.950000,8.950000,5.983975,0
1997-11-18,8.990000,8.990000,8.990000,8.990000,6.010720,0
1997-11-19,8.890000,8.890000,8.890000,8.890000,5.943860,0
1997-11-20,8.900000,8.900000,8.900000,8.900000,5.950546,0
1997-11-21,8.920000,8.920000,8.920000,8.920000,5.963919,0
1997-11-24,8.890000,8.890000,8.890000,8.890000,5.943860,0
1997-11-25,8.720000,8.720000,8.720000,8.720000,5.830198,0
1997-11-26,8.710000,8.710000,8.710000,8.710000,5.823511,0
1997-11-28,8.750000,8.750000,8.750000,8.750000,5.850256,0
1997-12-01,8.710000,8.710000,8.710000,8.710000,5.823511,0
1997-12-02,8.770000,8.770000,8.770000,8.770000,5.863629,0
1997-12-03,8.800000,8.800000,8.800000,8.800000,5.883686,0
1997-12-04,8.780000,8.780000,8.780000,8.780000,5.870314,0
1997-12-05,8.800000,8.800000,8.800000,8.800000,5.883686,0
1997-12-08,8.660000,8.660000,8.660000,8.660000,5.790081,0
1997-12-09,8.650000,8.650000,8.650000,8.650000,5.783397,0
1997-12-10,8.720000,8.720000,8.720000,8.720000,5.830198,0
1997-12-11,8.640000,8.640000,8.640000,8.640000,5.776710,0
1997-12-12,8.120000,8.120000,8.120000,8.120000,5.429036,0
1997-12-15,8.060000,8.060000,8.060000,8.060000,5.388920,0
1997-12-16,8.040000,8.040000,8.040000,8.040000,5.375549,0
1997-12-17,8.210000,8.210000,8.210000,8.210000,5.489211,0
1997-12-18,8.170000,8.170000,8.170000,8.170000,5.462467,0
1997-12-19,8.080000,8.080000,8.080000,8.080000,5.402293,0
1997-12-22,8.000000,8.000000,8.000000,8.000000,5.348805,0
1997-12-23,8.020000,8.020000,8.020000,8.020000,5.362177,0
1997-12-24,7.980000,7.980000,7.980000,7.980000,5.335433,0
1997-12-26,7.980000,7.980000,7.980000,7.980000,5.335433,0
1997-12-29,7.980000,7.980000,7.980000,7.980000,5.335433,0
1997-12-30,7.990000,7.990000,7.990000,7.990000,5.342118,0
1997-12-31,8.000000,8.000000,8.000000,8.000000,5.357522,0
1998-01-02,8.000000,8.000000,8.000000,8.000000,5.357522,0
1998-01-05,8.010000,8.010000,8.010000,8.010000,5.364219,0
1998-01-06,8.010000,8.010000,8.010000,8.010000,5.364219,0
1998-01-07,7.990000,7.990000,7.990000,7.990000,5.350824,0
1998-01-08,7.980000,7.980000,7.980000,7.980000,5.344128,0
1998-01-09,7.950000,7.950000,7.950000,7.950000,5.324038,0
1998-01-12,7.820000,7.820000,7.820000,7.820000,5.236978,0
1998-01-13,7.850000,7.850000,7.850000,7.850000,5.257069,0
1998-01-14,7.960000,7.960000,7.960000,7.960000,5.330735,0
1998-01-15,7.990000,7.990000,7.990000,7.990000,5.350824,0
1998-01-16,8.060000,8.060000,8.060000,8.060000,5.397704,0
1998-01-20,8.060000,8.060000,8.060000,8.060000,5.397704,0
1998-01-21,8.230000,8.230000,8.230000,8.230000,5.511550,0
1998-01-22,8.290000,8.290000,8.290000,8.290000,5.551733,0
1998-01-23,8.430000,8.430000,8.430000,8.430000,5.645490,0
1998-01-26,8.530000,8.530000,8.530000,8.530000,5.712459,0
1998-01-27,8.570000,8.570000,8.570000,8.570000,5.739246,0
1998-01-28,8.620000,8.620000,8.620000,8.620000,5.772729,0
1998-01-29,8.630000,8.630000,8.630000,8.630000,5.779426,0
1998-01-30,8.620000,8.620000,8.620000,8.620000,5.772729,0
1998-02-02,8.650000,8.650000,8.650000,8.650000,5.792820,0
1998-02-03,8.650000,8.650000,8.650000,8.650000,5.792820,0
1998-02-04,8.720000,8.720000,8.720000,8.720000,5.839700,0
1998-02-05,8.780000,8.780000,8.780000,8.780000,5.879880,0
1998-02-06,8.690000,8.690000,8.690000,8.690000,5.819607,0
1998-02-09,8.800000,8.800000,8.800000,8.800000,5.893276,0
1998-02-10,8.820000,8.820000,8.820000,8.820000,5.906667,0
1998-02-11,8.840000,8.840000,8.840000,8.840000,5.920062,0
1998-02-12,8.900000,8.900000,8.900000,8.900000,5.960242,0
1998-02-13,8.810000,8.810000,8.810000,8.810000,5.899971,0
1998-02-17,8.770000,8.770000,8.770000,8.770000,5.873184,0
1998-02-18,8.810000,8.810000,8.810000,8.810000,5.899971,0
1998-02-19,8.780000,8.780000,8.780000,8.780000,5.879880,0
1998-02-20,8.800000,8.800000,8.800000,8.800000,5.893276,0
1998-02-23,8.880000,8.880000,8.880000,8.880000,5.946851,0
1998-02-24,8.890000,8.890000,8.890000,8.890000,5.953546,0
1998-02-25,8.920000,8.920000,8.920000,8.920000,5.973638,0
1998-02-26,9.000000,9.000000,9.000000,9.000000,6.027213,0
1998-02-27,9.100000,9.100000,9.100000,9.100000,6.094181,0
1998-03-02,9.160000,9.160000,9.160000,9.160000,6.134363,0
1998-03-03,9.180000,9.180000,9.180000,9.180000,6.147758,0
1998-03-04,9.140000,9.140000,9.140000,9.140000,6.120970,0
1998-03-05,9.100000,9.100000,9.100000,9.100000,6.094181,0
1998-03-06,9.130000,9.130000,9.130000,9.130000,6.114272,0
1998-03-09,9.180000,9.180000,9.180000,9.180000,6.147758,0
1998-03-10,9.200000,9.200000,9.200000,9.200000,6.161150,0
1998-03-11,9.220000,9.220000,9.220000,9.220000,6.174546,0
1998-03-12,9.260000,9.260000,9.260000,9.260000,6.201331,0
1998-03-13,9.420000,9.420000,9.420000,9.420000,6.308483,0
1998-03-16,9.450000,9.450000,9.450000,9.450000,6.328573,0
1998-03-17,9.520000,9.520000,9.520000,9.520000,6.375452,0
1998-03-18,9.470000,9.470000,9.470000,9.470000,6.341966,0
1998-03-19,9.460000,9.460000,9.460000,9.460000,6.335269,0
1998-03-20,9.500000,9.500000,9.500000,9.500000,6.362059,0
1998-03-23,9.560000,9.560000,9.560000,9.560000,6.402239,0
1998-03-24,9.600000,9.600000,9.600000,9.600000,6.429027,0
1998-03-25,9.680000,9.680000,9.680000,9.680000,6.482603,0
1998-03-26,9.720000,9.720000,9.720000,9.720000,6.509389,0
1998-03-27,9.740000,9.740000,9.740000,9.740000,6.522781,0
1998-03-30,9.650000,9.650000,9.650000,9.650000,6.462511,0
1998-03-31,9.620000,9.620000,9.620000,9.620000,6.442420,0
1998-04-01,9.640000,9.640000,9.640000,9.640000,6.455813,0
1998-04-02,9.590000,9.590000,9.590000,9.590000,6.422329,0
1998-04-03,9.620000,9.620000,9.620000,9.620000,6.442420,0
1998-04-06,9.640000,9.640000,9.640000,9.640000,6.455813,0
1998-04-07,9.660000,9.660000,9.660000,9.660000,6.469208,0
1998-04-08,9.720000,9.720000,9.720000,9.720000,6.509389,0
1998-04-09,9.840000,9.840000,9.840000,9.840000,6.589753,0
1998-04-13,9.840000,9.840000,9.840000,9.840000,6.589753,0
1998-04-14,9.950000,9.950000,9.950000,9.950000,6.663418,0
1998-04-15,10.050000,10.050000,10.050000,10.050000,6.730387,0
1998-04-16,10.020000,10.020000,10.020000,10.020000,6.710296,0
1998-04-17,10.050000,10.050000,10.050000,10.050000,6.730387,0
1998-04-20,10.110000,10.110000,10.110000,10.110000,6.770568,0
1998-04-21,10.130000,10.130000,10.130000,10.130000,6.783961,0
1998-04-22,10.140000,10.140000,10.140000,10.140000,6.790659,0
1998-04-23,10.110000,10.110000,10.110000,10.110000,6.770568,0
1998-04-24,10.100000,10.100000,10.100000,10.100000,6.763872,0
1998-04-27,9.970000,9.970000,9.970000,9.970000,6.676813,0
1998-04-28,9.930000,9.930000,9.930000,9.930000,6.650024,0
1998-04-29,9.990000,9.990000,9.990000,9.990000,6.690206,0
1998-04-30,10.110000,10.110000,10.110000,10.110000,6.770568,0
1998-05-01,10.280000,10.280000,10.280000,10.280000,6.884413,0
1998-05-04,10.290000,10.290000,10.290000,10.290000,6.891113,0
1998-05-05,10.310000,10.310000,10.310000,10.310000,6.904507,0
1998-05-06,10.310000,10.310000,10.310000,10.310000,6.904507,0
1998-05-07,10.300000,10.300000,10.300000,10.300000,6.897810,0
1998-05-08,10.280000,10.280000,10.280000,10.280000,6.884413,0
1998-05-11,10.320000,10.320000,10.320000,10.320000,6.911205,0
1998-05-12,10.370000,10.370000,10.370000,10.370000,6.944688,0
1998-05-13,10.410000,10.410000,10.410000,10.410000,6.971476,0
1998-05-14,10.480000,10.480000,10.480000,10.480000,7.018355,0
1998-05-15,10.460000,10.460000,10.460000,10.460000,7.004962,0
1998-05-18,10.390000,10.390000,10.390000,10.390000,6.958082,0
1998-05-19,10.400000,10.400000,10.400000,10.400000,6.964778,0
1998-05-20,10.400000,10.400000,10.400000,10.400000,6.964778,0
1998-05-21,10.610000,10.610000,10.610000,10.610000,7.105413,0
1998-05-22,10.640000,10.640000,10.640000,10.640000,7.125506,0
1998-05-26,10.660000,10.660000,10.660000,10.660000,7.138898,0
1998-05-27,10.580000,10.580000,10.580000,10.580000,7.085324,0
1998-05-28,10.540000,10.540000,10.540000,10.540000,7.058535,0
1998-05-29,10.620000,10.620000,10.620000,10.620000,7.112110,0
1998-06-01,10.610000,10.610000,10.610000,10.610000,7.105413,0
1998-06-02,10.610000,10.610000,10.610000,10.610000,7.105413,0
